# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 3.4030038604761095,-3.0564336100946594,-5.51151316044153,-5.014902387572473,-175.4389841564222,-76.50702458458986,0.034500423887807614,28.98515111732868,-10.86102207016852,-13.911060564380907
 3.409758842087145,-3.0938926149437833,-5.545389611117375,-5.015032257157029,-175.51302553521606,-75.95661433577985,0.034620251893600386,28.884827385812628,-10.961003753573777,-14.801177732582241
 3.416473096188608,-3.1313518595622543,-5.579062700398585,-5.015164569638886,-175.5873292473976,-75.40620408696986,0.0347576350230843,28.770657132910493,-11.066562429523012,-15.721578950405158
 3.4231526858910457,-3.1688066110187254,-5.607343134085192,-4.233857908410984,-175.6619235829762,-74.85579383815985,0.03491273212196075,28.64284572478307,-11.167502631391011,-15.111736852812834
 3.429836847565225,-3.2062521371374713,-5.6021275283328364,0.7802931776027315,-175.73683705589676,-74.30538358934986,0.035085732119033444,28.50161417773341,-11.207609356599143,-6.000262585368545
 3.436558732055914,-3.2436837065505406,-5.568612412920526,4.98597014851031,-175.8120984400052,-73.75497334053986,0.035276854708954274,28.347198418065638,-11.196470902277937,1.6570433985638275
 3.443318171371266,-3.2810965887509993,-5.534909103405433,4.98611022937149,-175.88773680552177,-73.20456309172985,0.0354863509577644,28.17984867450003,-11.190035443435924,0.9520699190829026
 3.4501149974143157,-3.3184860541473533,-5.501018440009568,4.986248460856428,-175.96378155613124,-72.65415284291986,0.03571450386518234,27.99982897074173,-11.188273780707156,0.2591890269971573
 3.456949041932159,-3.3558473741192794,-5.466941263607273,4.98638490184274,-176.04026246677697,-72.10374259410986,0.03596162936176449,27.807416342020108,-11.191163658070801,-0.4228648724922256
 3.463820136463659,-3.3931758210747467,-5.43267841598403,4.986519609964173,-176.1172097222627,-71.55333234529986,0.03622807714026873,27.602900262362148,-11.198689689533676,-1.0953177006038306
 3.4707281122856095,-3.430466668508667,-5.3982307401002405,4.986652642056358,-176.1946539567767,-71.00292209648985,0.03651423165229257,27.386582018828115,-11.210843307809087,-1.7593602798655976
 3.477672800357256,-3.4677151910631836,-5.363599080366406,4.986784053732504,-176.2726262944293,-70.45251184767986,0.03682051356068294,27.15877382731031,-11.227622730951119,-2.4161521682360774
 3.484654031263104,-3.5049166645897176,-5.3287842829225145,4.9869139000587115,-176.35115839093066,-69.90210159886986,0.03714738061819288,26.919798471880718,-11.249032951423917,-3.0668260026842793
 3.491671635153895,-3.5420663662129024,-5.293787195930986,4.987042234950613,-176.4302824765129,-69.35169135005987,0.03749532947169578,26.669988344945022,-11.275085743449042,-3.712491105306567
 3.4987254416856794,-3.5791595743965616,-5.258608669874525,4.987169111875462,-176.51003140023172,-68.80128110124987,0.03786489704038514,26.409684910365428,-11.305799692615558,-4.354237535169013
 3.505815279956855,-3.616191569011832,-5.223249557867145,4.987294583450934,-176.59043867576338,-68.25087085243987,0.03825666234681927,26.139237943300138,-11.34120024409857,-4.993139494723403
 3.5129409784430816,-3.653157631407625,-5.187710715973643,4.987418701787316,-176.67153852884266,-67.70046060362986,0.03867124844831017,25.85900481947583,-11.381319773211729,-5.630259151535629
 3.520102364929936,-3.690053044483552,-5.151993003540962,4.987541518425882,-176.75336594646643,-67.15005035481987,0.039109324385770444,25.569349910934296,-11.426197674706092,-6.266649841722917
 3.5272992664432037,-3.7268730927654894,-5.1160972835405625,4.987663084485118,-176.83595672803622,-66.59964010600987,0.03957160755067782,25.270643825104628,-11.475880476832721,-6.903360013339109
 3.5345315091766603,-3.763613062483963,-5.080024422923817,4.987783450612145,-176.91934753857623,-66.04922985719986,0.040058866041199404,24.96326278860536,-11.530421974673859,-7.54143629455687
